filename,file_id,label,fault_size,load,samples,min,max,mean,std,status
118_0.mat,118,Ball,0.007,0,122571,-0.6070200798403194,0.6039338123752496,0.012607048538945311,0.13866162366530224,Valid
119_1.mat,119,Ball,0.007,1,121410,-0.6596490618762475,0.6396695409181637,0.0038918351975728966,0.13901385542053493,Valid
120_2.mat,120,Ball,0.007,2,121556,-0.5667361676646706,0.6045835528942115,0.004564114986322725,0.14718109062277251,Valid
121_3.mat,121,Ball,0.007,3,121556,-0.720562235528942,0.6715068263473054,0.004199704983399223,0.1535774376611685,Valid
185_0.mat,185,Ball,0.014,0,121846,-1.9635158483033932,2.2781526946107786,0.004687847769163018,0.15264165334126276,Valid
186_1.mat,186,Ball,0.014,1,122136,-1.3038667864271458,1.3397649500998003,0.004524908126695452,0.1408052640028766,Valid
187_2.mat,187,Ball,0.014,2,121991,-1.3857340918163672,1.8390905389221557,0.004579320217186272,0.14338404064989638,Valid
188_3.mat,188,Ball,0.014,3,122136,-1.7128784431137725,1.9891805988023952,0.004535467952873973,0.13361739428910718,Valid
222_0.mat,222,Ball,0.021,0,121991,-1.6178538922155687,1.6595997205588824,0.021386886852406948,0.1339168524056972,Valid
223_1.mat,223,Ball,0.021,1,121701,-1.413510499001996,1.4747485429141716,0.004299993602986384,0.12897839638768582,Valid
224_2.mat,224,Ball,0.021,2,122136,-0.530838003992016,0.6455172055888224,0.0045582939348263575,0.10717203912292768,Valid
225_3.mat,225,Ball,0.021,3,122136,-0.4931530538922156,0.5763198403193612,0.00446089882264684,0.11788020232927589,Valid
105_0.mat,105,Inner_Race,0.007,0,121265,-1.3798864271457085,1.739030499001996,0.013443559443270718,0.29121590933470093,Valid
106_1.mat,106,Inner_Race,0.007,1,121991,-1.4029522155688623,1.5808186826347306,0.0058009877561891405,0.2928348290041616,Valid
107_2.mat,107,Inner_Race,0.007,2,122136,-1.4255306986027942,1.6396201996007984,0.004551920800437508,0.2994755272633841,Valid
108_3.mat,108,Inner_Race,0.007,3,122917,-1.5354992814371258,1.6714574850299402,0.004718397126522763,0.31357123398525055,Valid
169_0.mat,169,Inner_Race,0.014,0,121846,-2.010784471057884,1.9342775249500999,0.03443323732391757,0.19481073437023055,Valid
170_1.mat,170,Inner_Race,0.014,1,121846,-2.0015256686626746,2.030114251497006,0.0035977956134085423,0.16547479441464774,Valid
171_2.mat,171,Inner_Race,0.014,2,121846,-1.880511497005988,1.854197005988024,0.0036803143017184446,0.16302588223369993,Valid
172_3.mat,172,Inner_Race,0.014,3,121701,-2.0176067465069862,2.1269255888223553,0.0030126477176049458,0.18076092331783955,Valid
209_0.mat,209,Inner_Race,0.021,0,122136,-3.3717472055888225,3.7879872255489024,0.014145791534112623,0.5251830255024031,Valid
210_1.mat,210,Inner_Race,0.021,1,121556,-3.284032235528942,3.6860591816367263,0.0030422544615924625,0.4418273318161406,Valid
211_2.mat,211,Inner_Race,0.021,2,121846,-3.124033632734531,3.623115568862276,0.003428486925824991,0.48885165595683866,Valid
212_3.mat,212,Inner_Race,0.021,3,121991,-3.087485728542914,3.6149938123752494,0.0028456839556780886,0.4487246984864726,Valid
97_0.mat,97,Normal,Healthy,0,243938,-0.28663753846153844,0.31125415384615385,0.01255821119994551,0.0726870986839877,Valid
98_1.mat,98,Normal,Healthy,1,483903,-0.34588430769230766,0.31751261538461534,0.012564102453463732,0.06515164530586431,Valid
99_2.mat,99,Normal,Healthy,2,483903,-0.34588430769230766,0.31751261538461534,0.012564102453463732,0.06515164530586431,Valid
100_3.mat,100,Normal,Healthy,3,485643,-0.306456,0.2837169230769231,0.01245851422293584,0.06469520385023539,Valid
130@6_0.mat,130,Outer_Race,0.007,0,121991,-3.4087011976047905,3.630425149700599,0.023171476248918663,0.6691044871630503,Valid
131@6_1.mat,131,Outer_Race,0.007,1,122426,-3.011953393213573,3.112257085828343,0.0040610540448516655,0.5919334923404229,Valid
132@6_2.mat,132,Outer_Race,0.007,2,121410,-3.0822065868263473,3.1012927145708584,0.0039122536452504755,0.5701569501046396,Valid
133@6_3.mat,133,Outer_Race,0.007,3,122571,-3.003019461077844,3.236113872255489,0.004529079736929043,0.580377370704462,Valid
197@6_0.mat,197,Outer_Race,0.014,0,121846,-0.5504385628742515,0.5505603592814372,0.014375473956966,0.09964764219389394,Valid
198@6_1.mat,198,Outer_Race,0.014,1,122136,-0.4016439520958084,0.3958383233532934,0.003099365015302467,0.09352804535335972,Valid
199@6_2.mat,199,Outer_Race,0.014,2,121846,-0.4098449101796407,0.4774419161676647,0.0032449254045132654,0.0967635387695505,Valid
200@6_3.mat,200,Outer_Race,0.014,3,121991,-0.6651707784431137,0.6651301796407186,0.0025354458120671213,0.09468142711935877,Valid
234_0.mat,234,Outer_Race,0.021,0,122426,-6.411720658682635,6.652936826347305,0.004731009727559404,0.5831530345930498,Valid
235_1.mat,235,Outer_Race,0.021,1,121991,-6.11284001996008,6.207052395209581,0.003407611157499905,0.5613672182208825,Valid
236_2.mat,236,Outer_Race,0.021,2,122281,-6.653342914171657,6.652936826347305,0.003372955552736008,0.5699811573998793,Valid
237_3.mat,237,Outer_Race,0.021,3,121991,-6.653342914171657,6.652936826347305,0.0035499887290857536,0.5590033709078268,Valid
