Feature,Importance
Standard_Deviation,0.16503028485289906
RMS,0.14898619843108343
Spectral_Energy,0.1268112475735486
Mean_Frequency,0.1153964953948517
Peak_to_Peak,0.10774500161599826
Minimum,0.09287768069141547
Maximum,0.07351757854825809
Shape_Factor,0.05571330670711874
Spectral_Entropy,0.04992714466694727
Kurtosis,0.01232818026440287
Mean,0.011516744223617315
Impulse_Factor,0.010137244750304327
Clearance_Factor,0.009239431034045991
Dominant_Frequency,0.008292375801444029
Maximum_FFT_Magnitude,0.006692669800575563
Crest_Factor,0.003697040362042499
Skewness,0.002091375281446897
